run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy,se_squares_placed,se_remaining_piece_area,se_accessible_corners,se_reachable_empty_squares,se_largest_remaining_piece_size,se_opponent_avg_mobility,se_center_proximity,se_territory_enclosure_area
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,0,8,8,8,1,1,RED,champ_old_weights,0,2.0,[2],0,96,2,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,9.0,-15.0,9.0,0.0,0.0,0.0,566.0,138.625,558.625,9.0,16.0,45.75,176.0,311.875,1412.0,567.625,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,1.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.2,0.2578947368421053,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,0,8,8,8,1,2,BLUE,champ_new_weights,1,2.0,[2],1,100,1,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,9.0,-15.0,9.0,0.0,0.0,0.0,543.0,122.625,488.75,9.0,15.0,41.25,153.5,270.0,1435.0,497.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,0.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.2,0.23684210526315785,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,0,8,8,8,1,3,YELLOW,pool_heuristic,2,2.0,[2],0,77,3,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,8.0,-17.0,9.0,0.0,0.0,0.0,425.0,111.125,444.875,8.0,13.0,36.75,139.0,248.125,1553.0,452.875,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,1.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.2,1.0,1.0,0.20833333333333334,0.2421052631578947,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,0,8,8,8,1,4,GREEN,pool_l9_partial_200ms,3,2.0,[2],0,74,4,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,7.0,-19.0,9.0,0.0,0.0,0.0,444.0,103.25,415.125,7.0,12.0,33.75,130.5,231.875,1534.0,422.125,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,0.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.175,1.0,1.0,0.21666666666666665,0.20526315789473681,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,1,16,16,16,1,1,RED,champ_old_weights,0,2.0,[2],0,96,2,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,17.0,-22.0,1.0,3.0,4.0,0.01,695.0,177.5,670.875,16.0,27.0,72.0,256.5,299.375,1710.0,687.875,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.425,1.0,1.0,0.325,0.45789473684210524,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,1,16,16,16,1,2,BLUE,champ_new_weights,1,2.0,[2],1,100,1,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,15.0,-26.0,0.0,3.0,4.0,0.01,704.0,176.75,680.875,15.0,24.0,67.5,247.5,326.875,1701.0,695.875,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.375,1.0,1.0,0.3416666666666667,0.48684210526315785,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,1,16,16,16,1,3,YELLOW,pool_heuristic,2,2.0,[2],0,77,3,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,14.0,-28.0,3.0,0.0,4.0,0.01,597.0,166.875,639.375,14.0,24.0,66.0,236.0,299.375,1808.0,653.375,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,1.0,1.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.35,1.0,1.0,0.35,0.4526315789473684,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,1,16,16,16,1,4,GREEN,pool_l9_partial_200ms,3,2.0,[2],0,74,4,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,10.0,-36.0,7.0,0.0,4.0,0.01,409.0,99.875,369.625,10.0,17.0,42.0,145.0,155.625,1996.0,379.625,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.25,1.0,1.0,0.38333333333333336,0.3131578947368421,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,2,24,24,24,1,1,RED,champ_old_weights,0,2.0,[2],0,96,2,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,22.0,-31.0,1.0,8.0,6.0,0.015,549.0,145.0,520.25,19.0,29.0,71.25,151.0,250.0,1252.0,542.25,6.0,15.0,60.0,1.0,1.0,2.0,4.0,7.0,1.0,0.0,0.0,24.0,24.0,0.295,0.2857142857142857,0.0096,0.0096,0.07,0.3181818181818182,0.6818181818181818,0.55,1.0,1.0,0.4416666666666667,0.5357142857142858,0.0
20260628_210150_3383f5f7,20260628_210150_3383f5f7_g0000,0,1307907946,2,24,24,24,1,2,BLUE,champ_new_weights,1,2.0,[2],1,100,1,"{""1"": 96, ""2"": 100, ""3"": 77, ""4"": 74}",False,19.0,-37.0,0.0,12.0,6.0,0.015,523.0,142.125,502.75,17.0,27.0,67.5,217.5,173.75,1278.0,521.75,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,24.0,24.0,0.295,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.475,1.0,1.0,0.4666666666666667,0.6052631578947368,0.0
