run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy,se_squares_placed,se_remaining_piece_area,se_accessible_corners,se_reachable_empty_squares,se_largest_remaining_piece_size,se_opponent_avg_mobility,se_center_proximity,se_territory_enclosure_area
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,0,8,8,8,1,1,RED,champ_v3,0,1.0,[1],1,99,1,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,9.0,-14.0,9.0,0.0,0.0,0.0,543.0,122.625,488.75,9.0,15.0,41.25,153.5,270.0,1316.0,497.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,0.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.19166666666666668,0.23684210526315785,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,0,8,8,8,1,2,BLUE,pool_heuristic,1,1.0,[1],0,87,2,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,7.0,-18.0,9.0,0.0,0.0,0.0,409.0,100.625,402.625,7.0,12.0,33.75,128.0,221.875,1450.0,409.625,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,1.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.175,1.0,1.0,0.20833333333333334,0.25263157894736843,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,0,8,8,8,1,3,YELLOW,pool_l45_100ms,2,1.0,[1],0,60,4,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,7.0,-18.0,9.0,0.0,0.0,0.0,364.0,86.0,341.875,7.0,10.0,27.0,108.5,189.375,1495.0,348.875,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,0.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.175,1.0,1.0,0.20833333333333334,0.17368421052631577,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,0,8,8,8,1,4,GREEN,pool_peer_500ms,3,1.0,[1],0,86,3,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,9.0,-14.0,9.0,0.0,0.0,0.0,543.0,122.625,488.75,9.0,15.0,41.25,153.5,270.0,1316.0,497.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,0.0,8.0,8.0,0.1,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.19166666666666668,0.23684210526315785,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,1,16,16,16,1,1,RED,champ_v3,0,1.0,[1],1,99,1,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,16.0,-24.0,3.0,3.0,0.0,0.0,690.0,167.75,630.0,16.0,26.0,68.25,241.0,278.75,1646.0,646.0,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.4,1.0,1.0,0.33333333333333337,0.4552631578947368,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,1,16,16,16,1,2,BLUE,pool_heuristic,1,1.0,[1],0,87,2,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,15.0,-26.0,0.0,6.0,0.0,0.0,578.0,154.5,592.5,13.0,22.0,60.75,218.0,278.75,1758.0,607.5,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,1.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.375,1.0,1.0,0.3416666666666667,0.5184210526315789,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,1,16,16,16,1,3,YELLOW,pool_l45_100ms,2,1.0,[1],0,60,4,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,11.0,-34.0,5.0,0.0,0.0,0.0,396.0,96.75,359.625,11.0,15.0,36.0,134.5,163.125,1940.0,370.625,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.275,1.0,1.0,0.375,0.3526315789473684,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,1,16,16,16,1,4,GREEN,pool_peer_500ms,3,1.0,[1],0,86,3,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,14.0,-28.0,0.0,1.0,0.0,0.0,672.0,160.125,613.875,14.0,22.0,60.75,229.0,288.125,1664.0,627.875,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,0.0,0.0,0.0,16.0,16.0,0.2,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.35,1.0,1.0,0.35,0.4921052631578947,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,2,24,24,24,1,1,RED,champ_v3,0,1.0,[1],1,99,1,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,22.0,-27.0,1.0,12.0,1.0,0.0025,368.0,104.125,343.625,18.0,23.0,50.25,148.0,104.375,1223.0,365.625,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,1.0,0.0,0.0,24.0,24.0,0.3,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.55,1.0,1.0,0.4083333333333333,0.5684210526315789,0.0
20260629_175458_b6d289dc,20260629_175458_b6d289dc_g0000,0,1726224907,2,24,24,24,1,2,BLUE,pool_heuristic,1,1.0,[1],0,87,2,"{""1"": 99, ""2"": 87, ""3"": 60, ""4"": 86}",False,20.0,-31.0,0.0,10.0,1.0,0.0025,495.0,151.25,540.5,17.0,28.0,69.0,239.0,187.5,1096.0,560.5,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,1.0,0.0,1.0,24.0,24.0,0.3,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.5,1.0,1.0,0.425,0.5526315789473684,0.0
