run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy,se_squares_placed,se_remaining_piece_area,se_accessible_corners,se_reachable_empty_squares,se_largest_remaining_piece_size,se_opponent_avg_mobility,se_center_proximity,se_territory_enclosure_area
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,0,8,8,8,1,1,RED,champion,0,1.0,[1],1,108,1,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,8.0,-15.0,9.0,0.0,0.0,0.0,500.0,123.375,504.625,8.0,14.0,40.5,129.0,313.125,1340.0,512.625,2.0,19.0,79.0,1.0,1.0,2.0,5.0,10.0,1.0,1.0,1.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.0225,0.10227272727272728,0.8977272727272727,0.2,1.0,1.0,0.19166666666666668,0.23391812865497075,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,0,8,8,8,1,2,BLUE,pool_heuristic,1,1.0,[1],0,73,4,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,7.0,-17.0,8.0,0.0,0.0,0.0,433.0,105.5,425.0,7.0,12.0,34.5,134.0,237.5,1407.0,432.0,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,1.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.175,1.0,1.0,0.2,0.26315789473684215,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,0,8,8,8,1,3,YELLOW,pool_l45_100ms,2,1.0,[1],0,90,3,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,7.0,-17.0,9.0,0.0,0.0,0.0,364.0,86.0,341.875,7.0,10.0,27.0,108.5,189.375,1476.0,348.875,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,0.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.175,1.0,1.0,0.2,0.17368421052631577,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,0,8,8,8,1,4,GREEN,pool_peer_500ms,3,1.0,[1],0,92,2,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,9.0,-13.0,9.0,0.0,0.0,0.0,543.0,122.625,488.75,9.0,15.0,41.25,153.5,270.0,1297.0,497.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,0.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.18333333333333332,0.23684210526315785,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,1,16,16,16,1,1,RED,champion,0,1.0,[1],1,108,1,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,16.0,-23.0,3.0,2.0,0.0,0.0,479.0,120.875,446.75,15.0,21.0,48.75,134.5,227.5,1772.0,462.75,4.0,17.0,69.0,1.0,1.0,2.0,5.0,8.0,1.0,1.0,0.0,16.0,16.0,0.1975,0.19047619047619047,0.0064,0.0064,0.0475,0.2159090909090909,0.7840909090909091,0.4,1.0,1.0,0.325,0.42105263157894735,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,1,16,16,16,1,2,BLUE,pool_heuristic,1,1.0,[1],0,73,4,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,13.0,-29.0,3.0,0.0,0.0,0.0,622.0,170.0,663.875,13.0,22.0,62.25,238.5,328.125,1629.0,676.875,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,1.0,16.0,16.0,0.1975,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.325,1.0,1.0,0.35,0.4921052631578947,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,1,16,16,16,1,3,YELLOW,pool_l45_100ms,2,1.0,[1],0,90,3,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,11.0,-33.0,5.0,0.0,0.0,0.0,400.0,97.5,364.25,11.0,15.0,35.25,133.0,170.0,1851.0,375.25,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.1975,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.275,1.0,1.0,0.36666666666666664,0.3526315789473684,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,1,16,16,16,1,4,GREEN,pool_peer_500ms,3,1.0,[1],0,92,2,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,15.0,-25.0,1.0,2.0,0.0,0.0,750.0,185.75,718.25,15.0,25.0,70.5,264.0,343.75,1501.0,733.25,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.1975,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.375,1.0,1.0,0.33333333333333337,0.4815789473684211,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,2,24,24,24,1,1,RED,champion,0,1.0,[1],1,108,1,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,22.0,-29.0,3.0,5.0,2.0,0.005,492.0,127.25,447.25,20.0,26.0,58.5,124.0,218.75,1075.0,469.25,6.0,15.0,60.0,1.0,1.0,2.0,4.0,7.0,1.0,0.0,0.0,24.0,24.0,0.295,0.2857142857142857,0.0096,0.0096,0.07,0.3181818181818182,0.6818181818181818,0.55,1.0,1.0,0.425,0.5225563909774436,0.0
20260514_024853_e8621532,20260514_024853_e8621532_g0000,0,1745772875,2,24,24,24,1,2,BLUE,pool_heuristic,1,1.0,[1],0,73,4,"{""1"": 108, ""2"": 73, ""3"": 90, ""4"": 92}",False,17.0,-39.0,3.0,6.0,2.0,0.005,438.0,132.375,479.5,15.0,22.0,57.0,205.5,180.0,1129.0,496.5,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,1.0,24.0,24.0,0.295,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.425,1.0,1.0,0.4666666666666667,0.5421052631578948,0.0
