run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy,se_squares_placed,se_remaining_piece_area,se_accessible_corners,se_reachable_empty_squares,se_largest_remaining_piece_size,se_opponent_avg_mobility,se_center_proximity,se_territory_enclosure_area
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,0,8,8,8,1,1,RED,champion_minimal,0,4.0,[4],0,88,3,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,9.0,-14.0,9.0,0.0,0.0,0.0,543.0,122.625,488.75,9.0,15.0,41.25,153.5,270.0,1436.0,497.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,0.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.19166666666666668,0.23684210526315785,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,0,8,8,8,1,2,BLUE,champion_v1,1,4.0,[4],0,87,4,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,8.0,-16.0,9.0,0.0,0.0,0.0,512.0,119.5,486.75,8.0,14.0,39.75,125.0,300.0,1467.0,494.75,2.0,19.0,79.0,1.0,1.0,2.0,5.0,10.0,1.0,0.0,1.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.0225,0.10227272727272728,0.8977272727272727,0.2,1.0,1.0,0.2,0.23976608187134507,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,0,8,8,8,1,3,YELLOW,pool_peer_500ms,2,4.0,[4],0,89,2,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,9.0,-14.0,9.0,0.0,0.0,0.0,543.0,122.625,488.75,9.0,15.0,41.25,153.5,270.0,1436.0,497.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,0.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.225,1.0,1.0,0.19166666666666668,0.23684210526315785,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,0,8,8,8,1,4,GREEN,pool_heuristic,3,4.0,[4],1,94,1,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,6.0,-20.0,8.0,0.0,0.0,0.0,381.0,87.875,353.75,6.0,10.0,28.5,110.5,198.75,1598.0,359.75,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,1.0,8.0,8.0,0.0975,0.09523809523809523,0.0032,0.0032,0.025,0.11363636363636363,0.8863636363636364,0.15,1.0,1.0,0.21666666666666665,0.26315789473684215,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,1,16,16,16,1,1,RED,champion_minimal,0,4.0,[4],0,88,3,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,15.0,-28.0,4.0,4.0,0.0,0.0,672.0,168.25,643.125,15.0,24.0,64.5,236.5,303.125,2151.0,658.125,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.195,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.375,1.0,1.0,0.35833333333333334,0.4526315789473684,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,1,16,16,16,1,2,BLUE,champion_v1,1,4.0,[4],0,87,4,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,16.0,-26.0,5.0,5.0,0.0,0.0,891.0,219.25,881.875,16.0,29.0,83.25,205.5,548.125,1932.0,897.875,4.0,17.0,70.0,1.0,1.0,2.0,4.0,9.0,1.0,0.0,1.0,16.0,16.0,0.195,0.19047619047619047,0.0064,0.0064,0.045,0.20454545454545456,0.7954545454545454,0.4,1.0,1.0,0.35,0.4444444444444444,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,1,16,16,16,1,3,YELLOW,pool_peer_500ms,2,4.0,[4],0,89,2,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,14.0,-30.0,2.0,2.0,0.0,0.0,613.0,155.0,592.75,14.0,22.0,60.0,213.0,283.75,2210.0,606.75,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.195,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.35,1.0,1.0,0.36666666666666664,0.4710526315789473,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,1,16,16,16,1,4,GREEN,pool_heuristic,3,4.0,[4],1,94,1,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,13.0,-32.0,3.0,3.0,0.0,0.0,647.0,166.375,650.5,12.0,22.0,61.5,237.5,317.5,2176.0,663.5,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,1.0,16.0,16.0,0.195,0.19047619047619047,0.0064,0.0064,0.05,0.22727272727272727,0.7727272727272727,0.325,1.0,1.0,0.375,0.4815789473684211,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,2,24,24,24,1,1,RED,champion_minimal,0,4.0,[4],0,88,3,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,21.0,-37.0,2.0,13.0,0.0,0.0,523.0,147.5,520.25,21.0,27.0,68.25,189.0,215.0,1284.0,541.25,6.0,15.0,59.0,1.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,24.0,24.0,0.2925,0.2857142857142857,0.0096,0.0096,0.0725,0.32954545454545453,0.6704545454545454,0.525,1.0,1.0,0.4833333333333333,0.5172413793103448,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,2,24,24,24,1,2,BLUE,champion_v1,1,4.0,[4],0,87,4,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,23.0,-33.0,1.0,10.0,0.0,0.0,697.0,180.0,665.375,22.0,31.0,83.25,178.5,350.625,1110.0,688.375,6.0,15.0,60.0,1.0,1.0,2.0,4.0,7.0,1.0,0.0,0.0,24.0,24.0,0.2925,0.2857142857142857,0.0096,0.0096,0.07,0.3181818181818182,0.6818181818181818,0.575,1.0,1.0,0.4666666666666667,0.5263157894736843,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,2,24,24,24,1,3,YELLOW,pool_peer_500ms,2,4.0,[4],0,89,2,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,17.0,-45.0,0.0,8.0,0.0,0.0,368.0,107.0,367.625,17.0,20.0,46.5,153.5,130.625,1439.0,384.625,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,24.0,24.0,0.2925,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.425,1.0,1.0,0.5166666666666667,0.5403508771929826,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,2,24,24,24,1,4,GREEN,pool_heuristic,3,4.0,[4],1,94,1,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,18.0,-43.0,3.0,9.0,0.0,0.0,219.0,70.125,226.75,14.0,15.0,31.5,97.5,68.75,1588.0,244.75,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,1.0,24.0,24.0,0.2925,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.45,1.0,1.0,0.5083333333333333,0.5,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,3,32,32,32,1,1,RED,champion_minimal,0,4.0,[4],0,88,3,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,26.0,-42.0,2.0,26.0,2.0,0.005,281.0,94.125,289.75,21.0,23.0,49.5,117.5,78.75,671.0,315.75,8.0,13.0,49.0,1.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,32.0,32.0,0.39,0.38095238095238093,0.0128,0.0128,0.0975,0.4431818181818182,0.5568181818181818,0.65,1.0,1.0,0.5666666666666667,0.5425101214574899,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,3,32,32,32,1,2,BLUE,champion_v1,1,4.0,[4],0,87,4,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,27.0,-40.0,1.0,20.0,2.0,0.005,348.0,98.25,325.875,19.0,23.0,53.25,77.5,153.125,604.0,352.875,8.0,13.0,51.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,0.0,32.0,32.0,0.39,0.38095238095238093,0.0128,0.0128,0.0925,0.42045454545454547,0.5795454545454546,0.675,1.0,1.0,0.5583333333333333,0.4907539118065434,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,3,32,32,32,1,3,YELLOW,pool_peer_500ms,2,4.0,[4],0,89,2,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,21.0,-52.0,0.0,17.0,2.0,0.005,189.0,67.875,192.375,20.0,17.0,30.75,84.0,40.625,763.0,213.375,8.0,13.0,48.0,1.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,32.0,32.0,0.39,0.38095238095238093,0.0128,0.0128,0.1,0.45454545454545453,0.5454545454545454,0.525,1.0,1.0,0.6083333333333333,0.5960526315789474,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,3,32,32,32,1,4,GREEN,pool_heuristic,3,4.0,[4],1,94,1,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,20.0,-54.0,3.0,10.0,2.0,0.005,134.0,53.25,142.5,17.0,15.0,27.0,61.0,22.5,818.0,162.5,8.0,13.0,48.0,1.0,1.0,2.0,6.0,3.0,0.0,0.0,1.0,32.0,32.0,0.39,0.38095238095238093,0.0128,0.0128,0.1,0.45454545454545453,0.5454545454545454,0.5,1.0,1.0,0.6166666666666667,0.5,0.0
20260614_135743_ca1ba49d,20260614_135743_ca1ba49d_g0036,36,2074205790,4,40,40,40,1,1,RED,champion_minimal,0,4.0,[4],0,88,3,"{""1"": 88, ""2"": 87, ""3"": 89, ""4"": 94}",False,30.0,-38.0,2.0,39.0,4.0,0.01,160.0,61.625,163.5,21.0,16.0,33.75,56.5,36.25,371.0,193.5,10.0,11.0,40.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,40.0,40.0,0.4825,0.47619047619047616,0.016,0.016,0.12,0.5454545454545454,0.45454545454545453,0.75,1.0,1.0,0.5666666666666667,0.5460526315789473,0.0
