run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy,se_squares_placed,se_remaining_piece_area,se_accessible_corners,se_reachable_empty_squares,se_largest_remaining_piece_size,se_opponent_avg_mobility,se_center_proximity,se_territory_enclosure_area
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,0,8,8,8,1,1,RED,heuristic,0,4,[4],0,83,3,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,8.0,-12.0,9.0,0.0,0.0,0.0,514.0,120.0,482.5,8.0,14.0,39.75,152.0,268.75,1251.0,490.5,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,0.0,1.0,8.0,8.0,0.0925,0.0952380952380952,0.0032,0.0032,0.025,0.1136363636363636,0.8863636363636364,0.2,1.0,1.0,0.1666666666666666,0.2526315789473684,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,0,8,8,8,1,2,BLUE,champion,1,4,[4],0,86,2,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,7.0,-14.0,9.0,0.0,0.0,0.0,452.0,105.75,432.375,7.0,12.0,34.5,109.5,269.375,1313.0,439.375,2.0,19.0,79.0,1.0,1.0,2.0,5.0,10.0,1.0,1.0,1.0,8.0,8.0,0.0925,0.0952380952380952,0.0032,0.0032,0.0225,0.1022727272727272,0.8977272727272727,0.175,1.0,1.0,0.175,0.2280701754385965,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,0,8,8,8,1,3,YELLOW,random,2,4,[4],0,61,4,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,6.0,-16.0,9.0,0.0,0.0,0.0,442.0,100.125,416.5,6.0,11.0,17.25,128.5,253.75,1323.0,422.5,2.0,19.0,80.0,1.0,1.0,1.0,6.0,10.0,1.0,0.0,1.0,8.0,8.0,0.0925,0.0952380952380952,0.0032,0.0032,0.02,0.0909090909090909,0.9090909090909092,0.15,1.0,1.0,0.1833333333333333,0.2171052631578947,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,0,8,8,8,1,4,GREEN,champion2,3,4,[4],1,90,1,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,7.0,-14.0,9.0,0.0,0.0,0.0,357.0,89.125,356.125,7.0,10.0,28.5,110.0,200.625,1408.0,363.125,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,1.0,8.0,8.0,0.0925,0.0952380952380952,0.0032,0.0032,0.025,0.1136363636363636,0.8863636363636364,0.175,1.0,1.0,0.175,0.1947368421052631,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,1,16,16,16,1,1,RED,heuristic,0,4,[4],0,83,3,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,15.0,-26.0,0.0,2.0,0.0,0.0,551.0,146.375,561.75,13.0,20.0,55.5,204.5,268.75,1789.0,576.75,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,1.0,16.0,16.0,0.1925,0.1904761904761904,0.0064,0.0064,0.05,0.2272727272727272,0.7727272727272727,0.375,1.0,1.0,0.3416666666666667,0.5157894736842106,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,1,16,16,16,1,2,BLUE,champion,1,4,[4],0,86,2,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,16.0,-24.0,1.0,1.0,0.0,0.0,729.0,168.625,643.25,16.0,27.0,68.25,199.5,332.5,1611.0,659.25,4.0,17.0,69.0,1.0,1.0,2.0,5.0,8.0,1.0,0.0,0.0,16.0,16.0,0.1925,0.1904761904761904,0.0064,0.0064,0.0475,0.2159090909090909,0.7840909090909091,0.4,1.0,1.0,0.3333333333333333,0.4792243767313019,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,1,16,16,16,1,3,YELLOW,random,2,4,[4],0,61,4,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,12.0,-32.0,5.0,1.0,0.0,0.0,489.0,119.25,463.125,12.0,18.0,24.75,166.5,241.875,1851.0,475.125,4.0,17.0,70.0,1.0,1.0,1.0,6.0,8.0,1.0,0.0,1.0,16.0,16.0,0.1925,0.1904761904761904,0.0064,0.0064,0.045,0.2045454545454545,0.7954545454545454,0.3,1.0,1.0,0.3666666666666666,0.4327485380116959,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,1,16,16,16,1,4,GREEN,champion2,3,4,[4],1,90,1,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,13.0,-30.0,2.0,1.0,0.0,0.0,571.0,137.375,524.125,13.0,19.0,51.75,191.0,249.375,1769.0,537.125,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,0.0,1.0,0.0,16.0,16.0,0.1925,0.1904761904761904,0.0064,0.0064,0.05,0.2272727272727272,0.7727272727272727,0.325,1.0,1.0,0.3583333333333333,0.4210526315789473,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,2,24,24,24,1,1,RED,heuristic,0,4,[4],0,83,3,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,20.0,-33.0,0.0,10.0,4.0,0.01,269.0,81.25,271.875,15.0,15.0,36.0,111.5,94.375,1256.0,291.875,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,1.0,0.0,1.0,24.0,24.0,0.29,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.5,1.0,1.0,0.4416666666666667,0.5578947368421052,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,2,24,24,24,1,2,BLUE,champion,1,4,[4],0,86,2,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,21.0,-31.0,1.0,7.0,4.0,0.01,444.0,123.5,420.125,20.0,27.0,58.5,151.5,163.125,1081.0,441.125,6.0,15.0,59.0,1.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,24.0,24.0,0.29,0.2857142857142857,0.0096,0.0096,0.0725,0.3295454545454545,0.6704545454545454,0.525,1.0,1.0,0.4333333333333333,0.558983666061706,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,2,24,24,24,1,3,YELLOW,random,2,4,[4],0,61,4,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,13.0,-47.0,5.0,3.0,4.0,0.01,363.0,95.0,357.625,12.0,16.0,23.25,119.5,186.875,1162.0,370.625,6.0,15.0,61.0,1.0,1.0,1.0,5.0,7.0,1.0,0.0,1.0,24.0,24.0,0.29,0.2857142857142857,0.0096,0.0096,0.0675,0.3068181818181818,0.6931818181818182,0.325,1.0,1.0,0.5,0.4405458089668616,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,2,24,24,24,1,4,GREEN,champion2,3,4,[4],1,90,1,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,19.0,-35.0,0.0,7.0,4.0,0.01,449.0,123.0,418.5,19.0,25.0,56.25,182.0,136.25,1076.0,437.5,6.0,15.0,58.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,24.0,24.0,0.29,0.2857142857142857,0.0096,0.0096,0.075,0.3409090909090909,0.6590909090909091,0.475,1.0,1.0,0.45,0.5157894736842106,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,3,32,32,32,1,1,RED,heuristic,0,4,[4],0,83,3,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,25.0,-35.0,0.0,19.0,7.0,0.0175,150.0,57.125,154.0,19.0,14.0,27.0,66.5,27.5,712.0,179.0,8.0,13.0,48.0,1.0,1.0,2.0,6.0,3.0,1.0,0.0,1.0,32.0,32.0,0.38,0.3809523809523809,0.0128,0.0128,0.1,0.4545454545454545,0.5454545454545454,0.625,1.0,1.0,0.5,0.5407894736842105,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,3,32,32,32,1,2,BLUE,champion,1,4,[4],0,86,2,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,24.0,-37.0,1.0,18.0,7.0,0.0175,179.0,63.875,186.625,17.0,17.0,31.5,73.0,48.125,683.0,210.625,8.0,13.0,49.0,1.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,32.0,32.0,0.38,0.3809523809523809,0.0128,0.0128,0.0975,0.4431818181818182,0.5568181818181818,0.6,1.0,1.0,0.5083333333333333,0.5856950067476383,0.0
20260707_212057_83d57874,20260707_212057_83d57874_g0000,0,775130985,3,32,32,32,1,3,YELLOW,random,2,4,[4],0,61,4,"{""1"": 83, ""2"": 86, ""3"": 61, ""4"": 90}",False,16.0,-53.0,5.0,11.0,7.0,0.0175,243.0,70.875,250.75,14.0,18.0,0.0,82.5,136.25,619.0,266.75,8.0,13.0,54.0,1.0,1.0,0.0,4.0,7.0,1.0,0.0,1.0,32.0,32.0,0.38,0.3809523809523809,0.0128,0.0128,0.085,0.3863636363636363,0.6136363636363636,0.4,1.0,1.0,0.575,0.4489164086687306,0.0
